"";"ID";"spname";"position"
"291";"42";"Sclerolaena eriacantha";"match"
"292";"42";"Sida sp.";"fac_only"
"293";"42";"Sclerolaena diacantha";"fac_only"
"294";"42";"Maireana";"fac_only"
"295";"42";"Sida fibulifera";"FT_only"
"296";"42";"Minuria cunninghamii";"FT_only"
"297";"42";"Eragrostis dielsii";"FT_only"
"298";"42";"Dissocarpus paradoxus";"FT_only"
"299";"43";"Sclerolaena ventricosa";"match"
"300";"43";"Enteropogon acicularis";"match"
"301";"43";"Maireana turbinata";"match"
"302";"43";"Atriplex vesicaria";"match"
"303";"43";"Sclerolaena brachyptera";"match"
"304";"43";"Minuria cunninghamii";"match"
"305";"43";"Sida sp.";"fac_only"
"306";"43";"Tripogon loliiformis";"fac_only"
"307";"43";"Eragrostis setifolia";"fac_only"
"308";"43";"Sclerolaena diacantha";"fac_only"
"309";"43";"Sida fibulifera";"FT_only"
"310";"43";"Sida trichopoda";"FT_only"
"311";"43";"Lotus cruentus";"FT_only"
"312";"43";"Austrodanthonia caespitosa";"FT_only"
"313";"43";"Sclerolaena lanicuspis";"FT_only"
"314";"43";"Sclerolaena divaricata";"FT_only"
"315";"43";"Ixiolaena leptolepis";"FT_only"
"316";"43";"Sporobolus actinocladus";"FT_only"
"317";"43";"Sclerolaena eriacantha";"FT_only"
"318";"44";"Einadia nutans";"match"
"319";"44";"Atriplex vesicaria";"match"
"320";"44";"Sclerolaena diacantha";"match"
"321";"44";"Sclerolaena brachyptera";"match"
"322";"44";"Nitraria billardierei";"match"
"323";"44";"Maireana aphylla";"match"
"324";"44";"Sclerolaena muricata";"fac_only"
"325";"44";"Paspalidium constrictum";"fac_only"
"326";"44";"Rhagodia spinescens";"FT_only"
"327";"44";"Sclerolaena tricuspis";"FT_only"
"328";"44";"Atriplex semibaccata";"FT_only"
"329";"45";"Einadia nutans";"match"
"330";"45";"Atriplex semibaccata";"match"
"331";"45";"Sclerolaena brachyptera";"match"
"332";"45";"Sida trichopoda";"match"
"333";"45";"Austrostipa scabra";"match"
"334";"45";"Sclerolaena tricuspis";"match"
"335";"45";"Sclerolaena diacantha";"match"
"336";"45";"Maireana trichoptera";"match"
"337";"45";"Maireana aphylla";"match"
"338";"45";"Austrodanthonia caespitosa";"match"
"339";"45";"Sporobolus carolii";"match"
"340";"45";"Chloris truncata";"fac_only"
"341";"45";"Sida intricata";"fac_only"
"342";"45";"Craspedia sp.";"fac_only"
"343";"45";"Minuria cunninghamii";"FT_only"
"344";"45";"Sclerolaena divaricata";"FT_only"
"345";"45";"Malacocera tricornis";"FT_only"
"346";"45";"Nitraria billardierei";"FT_only"
"347";"45";"Atriplex vesicaria";"FT_only"
"348";"45";"Abutilon halophilum";"FT_only"
"349";"46";"Sclerolaena diacantha";"match"
"350";"46";"Paspalidium constrictum";"match"
"351";"46";"Atriplex vesicaria";"match"
"352";"46";"Einadia nutans";"match"
"353";"46";"Sclerolaena brachyptera";"match"
"354";"46";"Austrodanthonia caespitosa";"match"
"355";"46";"Maireana aphylla";"match"
"356";"46";"Austrostipa scabra";"fac_only"
"357";"46";"Oxalis sp.";"fac_only"
"358";"46";"Enneapogon avenaceus";"fac_only"
"359";"46";"Chloris truncata";"fac_only"
"360";"46";"Enteropogon acicularis";"FT_only"
"361";"46";"Sclerolaena tricuspis";"FT_only"
"362";"46";"Atriplex semibaccata";"FT_only"
"363";"46";"Malacocera tricornis";"FT_only"
"364";"47";"Austrodanthonia caespitosa";"match"
"365";"47";"Sporobolus carolii";"match"
"366";"47";"Austrostipa scabra";"match"
"367";"47";"Atriplex vesicaria";"match"
"368";"47";"Vittadinia cuneata";"fac_only"
"369";"47";"Sclerolaena brachyptera";"FT_only"
"370";"48";"Atriplex vesicaria";"match"
"371";"48";"Enchylaena tomentosa";"match"
"372";"48";"Enteropogon acicularis";"match"
"373";"48";"Cyperus sp.";"fac_only"
"374";"48";"Sclerolaena tricuspis";"FT_only"
"375";"48";"Sclerolaena brachyptera";"FT_only"
"376";"48";"Sclerolaena diacantha";"FT_only"
"377";"48";"Paspalidium constrictum";"FT_only"
"378";"48";"Sclerolaena muricata";"FT_only"
"379";"48";"Teucrium racemosum";"FT_only"
"380";"48";"Maireana coronata";"FT_only"
"381";"48";"Atriplex semibaccata";"FT_only"
"382";"48";"Rhagodia spinescens";"FT_only"
"383";"49";"Portulaca oleracea";"match"
"384";"49";"Atriplex vesicaria";"match"
"385";"49";"Paspalidium constrictum";"match"
"386";"49";"Sporobolus sp.";"match"
"387";"49";"Enteropogon acicularis";"match"
"388";"49";"Calandrinia eremaea";"fac_only"
"389";"49";"Austrostipa scabra";"FT_only"
"390";"49";"Sporobolus carolii";"FT_only"
"391";"49";"Chloris ventricosa";"FT_only"
"392";"49";"Austrostipa eremophila";"FT_only"
"393";"50";"Enteropogon acicularis";"match"
"394";"50";"Fimbristylis dichotoma";"match"
"395";"50";"Opuntia aurantiaca";"match"
"396";"50";"Atriplex vesicaria";"match"
"397";"50";"Cheilanthes sieberi";"match"
"398";"50";"Portulaca oleracea";"fac_only"
"399";"50";"Sclerolaena tricuspis";"FT_only"
"400";"50";"Sclerolaena muricata";"FT_only"
"401";"83";"Taraxacum officinale";"match"
"402";"83";"Calceolaria biflora";"match"
"403";"83";"Acaena integerrima";"match"
"404";"83";"Nassauvia darwinii";"match"
"405";"83";"Acaena pinnatifida";"match"
"406";"83";"Cerastium arvense";"match"
"407";"83";"Festuca pyrogea";"match"
"408";"83";"Festuca pallescens";"match"
"409";"83";"Viola maculata";"fac_only"
"410";"83";"Lathyrus magellanicus";"fac_only"
"411";"83";"Hordeum murinum";"fac_only"
"412";"83";"Senecio sericeo-nitens";"fac_only"
"413";"83";"Galium fuegianum";"fac_only"
"414";"83";"Luzula alopecurus";"fac_only"
"415";"83";"Acaena spp.";"fac_only"
"416";"83";"Mulinum spinosum";"FT_only"
"417";"83";"Carex gayana";"FT_only"
"418";"83";"Rumex acetosella";"FT_only"
"419";"84";"Acaena pinnatifida";"match"
"420";"84";"Cerastium arvense";"match"
"421";"84";"Senecio sericeo-nitens";"match"
"422";"84";"Calceolaria biflora";"match"
"423";"84";"Nassauvia darwinii";"match"
"424";"84";"Festuca pyrogea";"match"
"425";"84";"Taraxacum officinale";"match"
"426";"84";"Acaena integerrima";"match"
"427";"84";"Mulinum spinosum";"match"
"428";"84";"Festuca pallescens";"match"
"429";"84";"Viola maculata";"fac_only"
"430";"84";"Galium fuegianum";"fac_only"
"431";"84";"Hypochaeris incana";"fac_only"
"432";"84";"Elymus repens";"fac_only"
"433";"84";"Holcus lanatus";"fac_only"
"434";"84";"Leucheria candidissima";"fac_only"
"435";"84";"Hordeum murinum";"fac_only"
"436";"84";"Rumex acetosella";"FT_only"
"437";"85";"Carex gayana";"match"
"438";"85";"Festuca pyrogea";"match"
"439";"85";"Cerastium arvense";"match"
"440";"85";"Mulinum spinosum";"match"
"441";"85";"Acaena pinnatifida";"match"
"442";"85";"Senecio sericeo-nitens";"match"
"443";"85";"Acaena integerrima";"match"
"444";"85";"Calceolaria biflora";"match"
"445";"85";"Nassauvia darwinii";"match"
"446";"85";"Festuca pallescens";"match"
"447";"85";"Lathyrus magellanicus";"match"
"448";"85";"Taraxacum officinale";"match"
"449";"85";"Holcus lanatus";"fac_only"
"450";"85";"Viola maculata";"fac_only"
"451";"85";"Hypochaeris incana";"fac_only"
"452";"85";"Elymus repens";"fac_only"
"453";"85";"Quinchamalium chilense";"fac_only"
"454";"85";"Leucheria candidissima";"fac_only"
"455";"85";"Rumex acetosella";"FT_only"
"456";"93";"Juniperus formosana";"match"
"457";"93";"Agrostis tenuis";"fac_only"
"458";"93";"Tribulus terrestris";"fac_only"
"459";"93";"Setaria viridis";"fac_only"
"460";"93";"Bassia dasyphylla";"fac_only"
"461";"93";"Kummerowia stipulacea";"fac_only"
"462";"93";"Artemisia scoparia";"FT_only"
