"";"ID";"spname";"position"
"247";"21";"Monttea aphylla";"match"
"248";"21";"Tetraglochin caespitosum";"match"
"249";"21";"Nassella tenuis";"match"
"250";"21";"Senna aphylla";"match"
"251";"21";"Larrea divaricata";"match"
"252";"21";"Prosopis flexuosa";"match"
"253";"21";"Gutierrezia baccharoides";"match"
"254";"21";"Acantholippia seriphioides";"match"
"255";"21";"Pappostipa speciosa";"match"
"256";"21";"Junellia seriphioides";"fac_only"
"257";"21";"Senecio melanopotamicus";"fac_only"
"258";"21";"Boopis anthemoides";"fac_only"
"259";"21";"Grindelia chiloensis";"fac_only"
"260";"21";"Baccharis gilliesii";"fac_only"
"261";"21";"Poa ligularis";"fac_only"
"262";"21";"Mulguraea aspera";"fac_only"
"263";"21";"Thymophylla pentachaeta";"fac_only"
"264";"21";"Cyclolepis genistoides";"FT_only"
"265";"21";"Margyricarpus pinnatus";"FT_only"
"266";"21";"Condalia microphylla";"FT_only"
"267";"21";"Schinus johnstonii";"FT_only"
"268";"40";"Sida fibulifera";"match"
"269";"40";"Sclerolaena lanicuspis";"match"
"270";"40";"Sida corrugata";"match"
"271";"40";"Lotus cruentus";"match"
"272";"40";"Sclerolaena ventricosa";"match"
"273";"40";"Maireana pyramidata";"match"
"274";"40";"Atriplex vesicaria";"match"
"275";"40";"Sclerolaena divaricata";"match"
"276";"40";"Maireana turbinata";"match"
"277";"40";"Minuria cunninghamii";"match"
"278";"40";"Sclerolaena brachyptera";"match"
"279";"40";"Minuria leptophylla";"fac_only"
"280";"40";"Eragrostis dielsii";"fac_only"
"281";"40";"Anemocarpa podolepidium";"FT_only"
"282";"40";"Sclerolaena decurrens";"FT_only"
"283";"40";"Malacocera tricornis";"FT_only"
"284";"40";"Sclerolaena eriacantha";"FT_only"
"285";"40";"Solanum sp.";"FT_only"
"286";"40";"Sclerolaena bicornis";"FT_only"
"287";"40";"Sporobolus actinocladus";"FT_only"
"288";"41";"Sclerolaena obliquicuspis";"match"
"289";"41";"Maireana pyramidata";"match"
"290";"41";"Sclerolaena patenticuspis";"match"
"291";"41";"Austrostipa scabra";"match"
"292";"41";"Enneapogon avenaceus";"match"
"293";"41";"Solanum quadriloculatum";"fac_only"
"294";"41";"Enteropogon acicularis";"FT_only"
"295";"41";"Lotus cruentus";"FT_only"
"296";"41";"Austrodanthonia caespitosa";"FT_only"
"297";"41";"Eragrostis setifolia";"FT_only"
"298";"42";"Sclerolaena lanicuspis";"match"
"299";"42";"Atriplex vesicaria";"match"
"300";"42";"Eragrostis setifolia";"match"
"301";"42";"Austrodanthonia caespitosa";"match"
"302";"42";"Sclerolaena brachyptera";"match"
"303";"42";"Sclerolaena ventricosa";"match"
"304";"42";"Austrostipa scabra";"match"
"305";"42";"Lotus cruentus";"match"
"306";"42";"Sclerolaena divaricata";"match"
"307";"42";"Sclerolaena eriacantha";"match"
"308";"42";"Sida sp.";"fac_only"
"309";"42";"Sclerolaena diacantha";"fac_only"
"310";"42";"Maireana";"fac_only"
"311";"42";"Eragrostis dielsii";"FT_only"
"312";"42";"Sida fibulifera";"FT_only"
"313";"42";"Minuria cunninghamii";"FT_only"
