"","ID","replicate","D_bare_only","D_nurse_only","D_both"
"3859","250","67",1.86866088956115,2.42355551830331,NA
"3860","250","68",1.51447671231759,1.86866088956115,NA
"3861","250","69",0.87997985821584,NA,NA
"3862","250","70",1.78374671507486,1.64149859389519,NA
"3863","250","71",1.65176768825957,2.23267078386717,NA
"3864","250","72",NA,1.86866088956115,NA
"3865","250","73",2.14610820393223,2.14897356641935,NA
"3866","250","74",1.58262230959481,2.19082217514326,NA
"3867","250","75",1.92541300995349,1.65176768825957,NA
"3868","251","1",1.89236824066411,1.70870789599014,NA
"3869","251","2",1.89236824066411,1.06590621462154,NA
"3870","251","3",2.44501691313654,2.09230390278208,1.50705392729227
"3871","251","4",1.65077131542763,2.59929715607949,NA
"3872","251","5",NA,1.69184645675297,NA
"3873","251","6",1.79762497084071,2.24622510721182,NA
"3874","251","7",1.45967484349065,2.03935143932409,1.86566844577841
"3875","251","8",1.93553492155718,2.19332013378938,1.89236824066411
"3876","251","9",NA,1.89236824066411,NA
"3877","251","10",1.65077131542763,2.10418952298392,NA
"3878","251","11",0.880719568821722,1.89236824066411,NA
"3879","251","12",1.65077131542763,NA,1.86566844577841
"3880","251","13",1.86566844577841,2.11911128084067,NA
"3881","251","14",1.65077131542763,NA,1.70288170101732
"3882","251","15",1.21807791825417,1.90814518524755,1.89236824066411
"3883","251","16",1.89236824066411,NA,1.70288170101732
"3884","251","17",1.89236824066411,1.942815468518,NA
"3885","251","18",1.89236824066411,2.10119566669063,1.40917439019115
"3886","251","19",1.63742141798478,2.08650050473882,1.89236824066411
"3887","251","20",1.89236824066411,2.01996249125759,NA
"3888","251","21",1.86566844577841,2.23248280092895,1.39384082969037
"3889","251","22",1.55599369584283,2.21142502932717,1.86566844577841
"3890","251","23",NA,2.03974422879824,1.89236824066411
"3891","251","24",1.78427507339786,1.60817467004774,NA
"3892","251","25",2.58919872743175,2.06298499501141,NA
"3893","251","26",2.06855823091298,1.90593701866718,NA
"3894","251","27",1.39227202864954,1.26597421111252,2.14943234474036
"3895","251","28",2.06844598483951,1.92125980574436,2.14943234474036
"3896","251","29",1.44805104375693,1.95320647715797,NA
"3897","251","30",1.791888565956,1.59097970390772,2.54715416121204
"3898","251","31",2.54715416121204,2.02459475824676,NA
"3899","251","32",1.79503521018986,1.82764268874769,NA
"3900","251","33",1.88176373083899,NA,4.03019159706375
"3901","251","34",1.82926026576345,1.51604308008425,2.54715416121204
"3902","251","35",1.75171052826868,1.85040829059166,2.28084034738479
"3903","251","36",1.27357708060602,1.99766225170615,1.75171052826868
"3904","251","37",1.3655132403175,2.31918860047925,2.54715416121204
"3905","251","38",1.67085265692349,1.77505694078163,2.42302879086034
"3906","251","39",1.81649727675365,1.81474967851348,2.54715416121204
"3907","251","40",1.58731446128052,2.03589326019067,NA
"3908","251","41",1.45433748873702,1.5617111691611,NA
"3909","251","42",2.12243689144008,NA,NA
"3910","251","43",1.42056804279554,1.74563273303096,1.71725944324665
"3911","251","44",2.14943234474036,2.29540520597629,NA
"3912","251","45",2.54715416121204,2.02258111330891,NA
"3913","251","46",2.50801570649388,2.36149246594242,1.55747405556221
"3914","251","47",2.04148625919852,1.97312457381154,2.54715416121204
"3915","251","48",2.06861435394971,2.83786512746567,1.59150829430878
"3916","251","49",2.28084034738479,NA,0.361520816262007
"3917","251","50",1.59150829430878,NA,2.54715416121204
"3918","251","51",NA,NA,NA
"3919","251","52",NA,NA,NA
"3920","251","53",NA,NA,NA
"3921","251","54",NA,NA,NA
"3922","251","55",NA,NA,NA
"3923","251","56",NA,NA,NA
"3924","251","57",NA,NA,NA
"3925","251","58",NA,NA,NA
"3926","251","59",NA,NA,NA
"3927","251","60",NA,NA,NA
"3928","251","61",NA,NA,NA
"3929","251","62",NA,NA,NA
"3930","251","63",NA,NA,NA
"3931","251","64",NA,NA,NA
"3932","251","65",NA,NA,NA
"3933","251","66",NA,NA,NA
"3934","251","67",NA,NA,NA
"3935","251","68",NA,NA,NA
"3936","251","69",NA,NA,NA
"3937","251","70",NA,NA,NA
"3938","251","71",NA,NA,NA
"3939","251","72",NA,NA,NA
"3940","251","73",NA,NA,NA
"3941","251","74",NA,NA,NA
"3942","251","75",NA,NA,NA
"3943","252","1",3.39383846233431,1.52587863142866,3.71169379392659
"3944","252","2",NA,4.41277846508069,3.71169379392659
"3945","252","3",NA,4.41277846508069,NA
"3946","252","4",NA,1.751416151129,NA
"3947","252","5",3.55276612813045,2.6420031892683,2.20638923254034
"3948","252","6",0,2.84252154035515,3.71169379392659
"3949","252","7",3.71169379392659,3.71169379392659,NA
"3950","252","8",3.39383846233431,3.71169379392659,NA
"3951","252","9",3.71169379392659,2.23360174935871,NA
"3952","252","10",3.71169379392659,4.06223612950364,NA
"3953","252","11",2.55293427377812,NA,4.41277846508069
"3954","252","12",1.8558468969633,1.80058261351403,NA
"3955","252","13",3.3231901072197,1.0897532429439,1.8558468969633
"3956","252","14",2.23360174935871,1.83245390485379,4.06223612950364
"3957","252","15",NA,NA,3.71169379392659
"3958","252","16",2.83323566996352,2.15608859611629,NA
"3959","252","17",2.39425849618867,1.88710344250257,3.71169379392659
"3960","252","18",NA,NA,1.26923055289928
"3961","252","19",1.11680087467935,1.24017287406372,1.58245059113319
"3962","252","20",3.71169379392659,NA,3.39383846233431
