ID,spname,position,,
313,42,Austrodanthonia caespitosa,match,
314,42,Sclerolaena eriacantha,match,
315,42,Sclerolaena lanicuspis,match,
316,42,Atriplex vesicaria,match,
317,42,Lotus cruentus,match,
318,42,Eragrostis setifolia,match,
319,42,Sclerolaena ventricosa,match,
320,42,Sclerolaena divaricata,match,
321,42,Sida ,fac_only,
322,42,Sclerolaena diacantha,fac_only,
323,42,Maireana ,fac_only,
324,42,Stipa scabra,fac_only,34
325,42,Digitaria coenicola,FT_only,
326,42,Minuria cunninghamii,FT_only,
327,42,Eragrostis dielsii,FT_only,
328,42,Sida fibulifera,FT_only,
329,42,Dissocarpus paradoxus,FT_only,
330,42,Austrostipa scabra,FT_only,34
331,42,Sclerolaena cuneata,FT_only,
332,43,Maireana turbinata,match,
333,43,Sclerolaena ventricosa,match,
334,43,Enteropogon acicularis,match,
335,43,Sclerolaena brachyptera,match,
336,43,Minuria cunninghamii,match,
337,43,Atriplex vesicaria,match,
338,43,Sida ,fac_only,
339,43,Tripogon loliiformis,fac_only,
340,43,Eragrostis setifolia,fac_only,
341,43,Sclerolaena diacantha,fac_only,
342,43,Sclerolaena divaricata,FT_only,
343,43,Sclerolaena eriacantha,FT_only,
344,43,Sporobolus actinocladus,FT_only,
345,43,Sclerolaena lanicuspis,FT_only,
346,43,Sclerolaena longicuspis,FT_only,
347,43,Ixiolaena leptolepis,FT_only,
348,43,Lotus cruentus,FT_only,
349,43,Austrodanthonia caespitosa,FT_only,
350,43,Sida fibulifera,FT_only,
351,43,Sida trichopoda,FT_only,
352,44,Maireana aphylla,match,
353,44,Sclerolaena diacantha,match,
354,44,Sclerolaena brachyptera,match,
355,44,Einadia nutans,match,
356,44,Atriplex vesicaria,match,
357,44,Nitraria billardieri,fac_only,1
358,44,Sclerolaena muricata var. muricata,fac_only,
359,44,Paspalidium constrictum,fac_only,
360,44,Atriplex semibaccata,FT_only,
361,44,Rhagodia spinescens,FT_only,
362,44,Sclerolaena tricuspis,FT_only,
363,44,Nitraria billardierei,FT_only,1
364,45,Sida trichopoda,match,
365,45,Austrostipa scabra,match,
366,45,Sclerolaena brachyptera,match,
367,45,Austrodanthonia caespitosa,match,
368,45,Maireana trichoptera,match,
369,45,Chloris truncata,match,
370,45,Maireana aphylla,match,
371,45,Einadia nutans,match,
372,45,Atriplex semibaccata,match,
373,45,Sclerolaena diacantha,match,
374,45,Sclerolaena tricuspis,match,
375,45,Sporobolus caroli,fac_only,2
376,45,Sida intricata,fac_only,
377,45,Craspedia sp,fac_only,3
378,45,Craspedia sp.,FT_only,3
379,45,Sclerolaena divaricata,FT_only,
380,45,Sporobolus carolii,FT_only,2
381,45,Atriplex vesicaria,FT_only,
382,45,Abutilon halophilum,FT_only,
383,45,Minuria cunninghamii,FT_only,
384,45,Malacocera tricornis,FT_only,
385,45,Nitraria billardierei,FT_only,
386,46,Atriplex vesicaria,match,
387,46,Maireana aphylla,match,
388,46,Einadia nutans,match,
389,46,Paspalidium constrictum,match,
390,46,Sclerolaena diacantha,match,
391,46,Austrodanthonia caespitosa,match,
392,46,Sclerolaena brachyptera,match,
393,46,Austrostipa scabra,fac_only,
394,46,Oxalis sp.,fac_only,
395,46,Enneapogon avenaceus,fac_only,
396,46,Chloris truncata,fac_only,
397,46,Sida intricata,FT_only,
398,46,Enteropogon acicularis,FT_only,
399,46,Malacocera tricornis,FT_only,
400,46,Atriplex semibaccata,FT_only,
401,46,Sclerolaena tricuspis,FT_only,
402,47,Austrodanthonia caespitosa,match,
403,47,Atriplex vesicaria,match,
404,47,Austrostipa scabra,match,
405,47,Sporobolus caroli,fac_only,4
406,47,Vittadinia cuneata complex,fac_only,
407,47,Sporobolus carolii,FT_only,4
408,47,Sclerolaena brachyptera,FT_only,
409,48,Atriplex vesicaria,match,
410,48,Enteropogon acicularis,match,
411,48,Enchylaena tomentosa,match,
412,48,Cyperus sp.,fac_only,
413,48,Sclerolaena brachyptera,FT_only,
414,48,Paspalidium constrictum,FT_only,
415,48,Sclerolaena tricuspis,FT_only,
416,48,Teucrium racemosum,FT_only,
417,48,Maireana coronata,FT_only,
418,48,Sclerolaena muricata,FT_only,
419,48,Atriplex semibaccata,FT_only,
420,48,Rhagodia spinescens,FT_only,
421,48,Sclerolaena diacantha,FT_only,
422,48,Crinum flaccidum,FT_only,
423,49,Atriplex vesicaria,match,
424,49,Paspalidium constrictum,match,
425,49,Sporobolus sp.,match,
426,49,Enteropogon acicularis,match,
427,49,Portulaca oleracea,match,
428,49,Calandrinia eremaea,fac_only,
429,49,Austrostipa scabra,FT_only,
430,49,Rumex sp.,FT_only,
431,49,Crinum flaccidum,FT_only,
432,49,Austrostipa eremophila,FT_only,
433,49,Sida sp.,FT_only,
434,49,Chloris ventricosa,FT_only,
435,49,Sporobolus carolii,FT_only,
436,50,Opuntia aurantiaca,match,
437,50,Atriplex vesicaria,match,
438,50,Cheilanthes sieberi,match,
439,50,Enteropogon acicularis,match,
440,50,Fimbristylis dichotoma,match,
441,50,Portulaca oleracea,fac_only,
442,50,Sclerolaena tricuspis,FT_only,
443,50,Sclerolaena muricata,FT_only,
444,83,Taraxacum officinale,match,
445,83,Calceolaria biflora,match,
446,83,Cerastium arvense,match,
447,83,Festuca pyrogea,match,
448,83,Festuca pallescens,match,
449,83,Acaena pinnatifida,match,
450,83,Nassauvia darwinii,match,
451,83,Acaena integerrima,match,
452,83,Viola maculata,match,
453,83,acaena integerrima,fac_only,
454,83,Lathyrus magellanicus,fac_only,
455,83,Hordeum murinum,fac_only,
456,83,Senecio sericeo-nitens,fac_only,
457,83,Galium fuegianum,fac_only,
458,83,Luzula alopecurus,fac_only,
459,83,Acaena spp. ,fac_only,
460,83,Rumex acetosella,FT_only,
461,83,Mulinum spinosum,FT_only,
462,83,Carex gayana,FT_only,
463,84,Viola maculata,match,
464,84,Cerastium arvense,match,
465,84,Festuca pyrogea,match,
466,84,Mulinum spinosum,match,
467,84,Festuca pallescens,match,
468,84,Taraxacum officinale,match,
469,84,Senecio sericeo-nitens,match,
470,84,Calceolaria biflora,match,
471,84,Nassauvia darwinii,match,
472,84,Acaena pinnatifida,match,
473,84,Acaena integerrima,match,
474,84,Galium fuegianum,fac_only,
475,84,Hypochaeris incana,fac_only,
476,84,Elymus repens,fac_only,
477,84,Holcus lanatus,fac_only,
478,84,Leucheria candidissima,fac_only,
479,84,Hordeum murinum,fac_only,
480,84,Loasa bergii,FT_only,
481,84,Rumex acetosella,FT_only,
482,84,Luzula alopecurus,FT_only,
483,85,Acaena integerrima,match,
484,85,Senecio sericeo-nitens,match,
485,85,Carex gayana,match,
486,85,Festuca pallescens,match,
487,85,Lathyrus magellanicus,match,
488,85,Taraxacum officinale,match,
489,85,Leucheria candidissima,match,
490,85,Mulinum spinosum,match,
491,85,Acaena pinnatifida,match,
492,85,Nassauvia darwinii,match,
493,85,Calceolaria biflora,match,
494,85,Cerastium arvense,match,
495,85,Viola maculata,match,
496,85,Festuca pyrogea,match,
497,85,Hypochaeris incana,match,
498,85,Quinchamalium chilense,match,
